ID,UTTERANCES,IOB SLOT TAGS
1644,show me zombie movies,O O B_subject O
1645,show zombie movies,O B_subject O
1646,zombie movie favorites,B_subject O O
1647,find me a movie with zombies,O O O O O B_subject
1648,show me movies about zombies,O O O O B_subject
1649,show me movies about zombies,O O O O B_subject
1650,show me movies about zombies,O O O O B_subject
1651,show movies of zombies,O O O B_subject
1652,which movies are based on zombies,O O O O O B_subject
1653,which movies have zombies in them,O O O B_subject O O
1654,movies about zombies,O O B_subject
1655,display movies of zombies,O O O B_subject
1656,get movies about zombies,O O O B_subject
1657,movies about zombies,O O B_subject
1658,i want scary zombie movies,O O B_genre B_subject O
1659,i want to see zombie movies that are scary,O O O O B_subject O O O B_genre
1660,find movies directed by niel abramson,O O O O B_director I_director
1661,zombies,B_subject
1662,what movies are directed by ridley scott,O O O O O B_director I_director
1663,i want to see movies directed by ridley scott,O O O O O O O B_director I_director
1664,german movie info,B_country O O
1665,i want to watch a german movie,O O O O O B_country O
1666,info german movie,O B_country O
1667,show german movies,O B_country O
1668,find action movies,O B_genre O
1669,looking for an action movie,O O O B_genre O
1670,what is the ratings of action movies,O O O O O B_genre O
1671,movies patrick swayze played in,O B_person I_person O O
1672,show me a movie that starred patrick swayze,O O O O O O B_cast I_cast
1673,show me short films,O O B_genre O
1674,movies by george lucas,O O B_director I_director
1675,list of all dutch movies,O O O B_country O
1676,please give me a dutch movie listing,O O O O B_country O O
1677,dutch movie listing,B_country O O
1678,show me childrens movies,O O B_mpaa_rating O
1679,movies tom cruise produced,O B_producer I_producer O
1680,what movies did harry weinstein produce,O O O B_producer I_producer O
1681,i want to look for movies produced by morgan freeman,O O O O O O O O B_producer I_producer
1682,i would like to find movies produced by morgan freeman,O O O O O O O O B_producer I_producer
1683,look for movies produced by morgan freeman,O O O O O B_producer I_producer
1684,search for movies produced by morgan freeman,O O O O O B_producer I_producer
1685,what movies are in bengali,O O O O B_language
1686,meryl streep movies,B_person I_person O
1687,movies frances ford copolla,O B_person I_person I_person
1688,what movie did victor fleming direct,O O O B_director I_director O
1689,movies from russia,O O B_country
1690,search for films produced in russia,O O O O O B_country
1691,find movies produced in russia,O O O O B_country
1692,find all details about star wars-a new hope movie,O O O O B_movie I_movie I_movie I_movie O
1693,show all details about star wars-a new hope movie,O O O O B_movie I_movie I_movie I_movie O
1694,get me information about the movie star wars four,O O O O O O B_movie I_movie I_movie
1695,can you show me details about the movie star wars:episode four - a new hope,O O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1696,give me detailed information about the movie star wars:episode four -a new hope,O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie
1697,i would like to get some information about the movie star wars:episode four -a new hope,O O O O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie
1698,list star wars movie a new hope,O B_movie I_movie I_movie I_movie I_movie I_movie
1699,find info about star wars episode four,O O O B_movie I_movie I_movie I_movie
1700,get me info on star wars episode four,O O O O B_movie I_movie I_movie I_movie
1701,get me star wars episode four details,O O B_movie I_movie I_movie I_movie O
1702,i want to see info about star wars four,O O O O O O B_movie I_movie I_movie
1703,run a search for star wars four,O I_movie O O B_movie I_movie I_movie
1704,show me star wars four,O O B_movie I_movie I_movie
1705,show me star wars four page,O O B_movie I_movie I_movie O
1706,star wars four,B_movie I_movie I_movie
1707,take me to star wars four page,O O O B_movie I_movie I_movie O
1708,where can i watch star wars four,O O O O B_movie I_movie I_movie
1709,tell about star wars iv,O O B_movie I_movie I_movie
1710,what is full name of star wars iv,O O O O O B_movie I_movie I_movie
1711,darth vader,B_char I_char
1712,han solo,B_char I_char
1713,i only want movies by sidney lumit,O O O O O B_director I_director
1714,movies with sally field,O O B_cast I_cast
1715,can you please open page about in july movie,O O O O O O B_movie I_movie O
1716,display details of in july movie,O O O B_movie I_movie O
1717,exhibit details of in july movie,O O O B_movie I_movie O
1718,in july movie page,B_movie I_movie O O
1719,about movie in july,O O B_movie I_movie
1720,find me the film in july,O O O O B_movie I_movie
1721,show information for the movie title in july with moritz bleibtreu,O O O O O O B_movie I_movie O B_cast I_cast
1722,give me details about the movie in july,O O O O O O B_movie I_movie
1723,i want information about the movie in july,O O O O O O B_movie I_movie
1724,i would like to get detailed information about the movie in july,O O O O O O O O O O B_movie I_movie
1725,search the movie in july,O O O B_movie I_movie
1726,show data for the movie in july,O O O O O B_movie I_movie
1727,show me detailed information about the movie in july,O O O O O O O B_movie I_movie
1728,show me more details for the movie in july,O O O O O O O B_movie I_movie
1729,check movie in july information,O O B_movie I_movie O
1730,display information for the movie in july,O O O O O B_movie I_movie
1731,i want to see anne hathaway's latest movie,O O O O B_person I_person O O O
1732,show me anne hathaway's latest movie,O O B_person I_person O O O
1733,show me hathaway's recent movies,O O B_person O B_release_year O
1734,what movies has jack black been in,O O O B_cast I_cast O O
1735,angelina jolie movies,B_person I_person O
1736,in which movies has angelina jolie starred,O O O O B_cast I_cast O
1737,list of movies starring angelina jolie,O O O O B_cast I_cast
1738,movies with angelina jolie,O O B_cast I_cast
1739,show angelina jolie movies,O B_person I_person O
1740,show me all movies for angelina jolie,O O O O O B_person I_person
1741,show movies with angelina jolie,O O O B_cast I_cast
1742,what movies has angelina jolie been in,O O O O B_cast I_cast O
1743,which movies has angelina jolie been in,O O O O B_cast I_cast O
1744,list movies starring angelina jolie,O O O B_cast I_cast
1745,list movies with angelina jolie in them,O O O B_cast I_cast O O
1746,funny kids movies,B_genre B_mpaa_rating O
1747,movies about basketball,O O B_subject
1748,can you locate movies produced by clint eastwood,O O O O O O B_producer I_producer
1749,can you show movies produced by clint eastwood,O O O O O O B_producer I_producer
1750,find all movies produced by clint eastwood,O O O O O B_producer I_producer
1751,i am looking for movies produced by clint eastwood,O O O O O O O B_producer I_producer
1752,i need a list of movies produced by clint eastwood,O O O O O O O O B_producer I_producer
1753,please find movies produced by clint eastwood,O O O O O B_producer I_producer
1754,will you provide a list of movies produced by clint eastwood,O O O O O O O O O B_producer I_producer
1755,i want to see more movies with katie holmes,O O O O O O O B_cast I_cast
1756,find any movies about horses,O O O O B_subject
1757,what are some current movies with horses as the main topic of the movie,O O O O O O B_subject O O O O O O O
1758,johnny depp movies,B_person I_person O
1759,bring up black swan production,O O B_movie I_movie O
1760,all the movies of karan johar,O O O O B_director I_director
1761,karan johar's movies,B_director I_director O O
1762,find movies of karan johar,O O O B_director I_director
1763,movies of karan johar,O O B_director I_director
1764,find director movies,O O O
1765,find a list of directors and their movies,O O O O O O O O
1766,movies and who directed them,O O O O O
1767,bring up all director movies,O O O O O
1768,list director movies,O O O
1769,show movies directed by,O O O O
1770,i want to look up information about the movie hotel transylvania,O O O O O O O O O B_movie I_movie
1771,will ferrell been in,B_cast I_cast O O
1772,what has will ferrell done,O O B_person I_person O
1773,find movies about gambling,O O O B_subject
1774,find movies about ice skating,O O O B_subject I_subject
1775,generate a list of movies about ice skating,O O O O O O B_subject I_subject
1776,list ice skating movies please,O B_subject I_subject O O
1777,are there any movies with ice skating,O O O O O B_subject I_subject
1778,please show me movies about ice skating,O O O O O B_subject I_subject
1779,search for movies about ice skating,O O O O B_subject I_subject
1780,are there any movies with skating on ice,O O O O O B_subject I_subject I_subject
1781,find dreamworks movies for kids,O B_producer O O B_mpaa_rating
1782,where can i see a list of movies produced in great britain,O O O O O O O O O O B_country I_country
1783,taye diggs films,B_person I_person O
1784,about house at the end of the street,O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1785,find me info on house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1786,house at the end of the street movie info,B_movie I_movie I_movie I_movie I_movie I_movie I_movie O O
1787,i would like to see house at the end of the street information,O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie O
1788,overview of house at the end of the street,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1789,show me house at the end of the street,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1790,show me the page about house at the end of the street,O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1791,get me info about the movie house at the end of the street,O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1792,show information for the movie house at the end of the street,O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1793,show me detailed information about the movie house at the end of the street,O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1794,show me more details for the movie house at the end of the street,O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1795,can you give me detailed information about the movie house at the end of the street,O O O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1796,dispaly info for movie house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1797,display overview of the movie house at the end of the street,O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1798,i need information about the cast reviews story etc in detail about the movie house at the end of the street,O O O O O O O O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
1799,send me movies that are in chinese,O O O O O O B_language
1800,i want chinese language movies,O O B_language I_language O
1801,show me movies in chinese,O O O O B_language
1802,find all chinese language movies,O O B_language I_language O
1803,look up movies in chinese,O O O O B_language
1804,movies in chinese,O O B_language
1805,show me movies produced by julian fellows,O O O O O B_producer I_producer
1806,julian fellows productions,B_producer I_producer O
1807,can you please search movies of tom cruise,O O O O O O B_person I_person
1808,find movies with tom cruise,O O O B_cast I_cast
1809,find movies with tom cruise in them,O O O B_cast I_cast O O
1810,in what movies tom cruise is,O O O B_cast I_cast O
1811,movies starring tom cruise,O O B_cast I_cast
1812,show me all movies tom cruise has been in,O O O O B_cast I_cast O O O
1813,tom cruise movies,B_person I_person O
1814,tom cruise movies,B_person I_person O
1815,what movies has tom cruise been in,O O O B_cast I_cast O O
1816,what movies has tom cruise starred in,O O O B_cast I_cast O O
1817,find movies produced by george lucas,O O O O B_producer I_producer
1818,find movies produced by george lucus,O O O O B_producer I_producer
1819,give me a list of movies produced by george lucas,O O O O O O O O B_producer I_producer
1820,give me a list of movies that george lucas produced,O O O O O O O B_producer I_producer O
1821,locate all movies produced by george lucas,O O O O O B_producer I_producer
1822,list of dax shepard movies,O O B_person I_person O
1823,yash chopra's movies,B_director I_director O O
1824,find movies of yash chopra,O O O B_director I_director
1825,trouble with the curve was based on what,B_movie I_movie I_movie I_movie O O O O
1826,what was the last film robert redford produced,O O O O O B_producer I_producer O
1827,movies about immigration,O O B_subject
1828,dawn of the dead movie information,B_movie I_movie I_movie I_movie O O
1829,search the campaign movie,O B_movie I_movie O
1830,show me information related to the film the campaign,O O O O O O O B_movie I_movie
1831,will you please show me info on the movie the campaign,O O O O O O O O O B_movie I_movie
1832,the campaign movie page,B_movie I_movie O O
1833,i want to see info on the movie the campaign,O O O O O O O O B_movie I_movie
1834,look up movie the campaign,O O O B_movie I_movie
1835,please show me info on the movie the campaign,O O O O O O O B_movie I_movie
1836,show me information for the movie the campaign,O O O O O O B_movie I_movie
1837,tell me about the movie the campaign in detail,O O O O O B_movie I_movie O O
1838,can you show me details about the movie the campaign,O O O O O O O O B_movie I_movie
1839,find movies about love,O O O B_subject
1840,movies about nature,O O B_subject
1841,show me the comedy pitch perfect,O O O B_genre B_movie I_movie
1842,show me the movies produced by reliance,O O O O O O B_producer
1843,which movies are family friendly,O O O B_genre I_genre
1844,can you get me a pg movie list,O O O O O B_mpaa_rating O O
1845,find a pg rated movie,O O B_mpaa_rating O O
1846,find rated pg movies,O O B_mpaa_rating O
1847,give me some good pg moives,O O O O B_mpaa_rating O
1848,i am looking for movies that are rated pg for family movie night,O O O O O O O O B_mpaa_rating O O O O
1849,i need to see a list of pg movies,O O O O O O O B_mpaa_rating O
1850,i need to see all pg movies,O O O O O B_mpaa_rating O
1851,movies rated pg,O O B_mpaa_rating
1852,pg movies list please,B_mpaa_rating O O O
1853,please show a list of recent movies rated pg,O O O O O O O O B_mpaa_rating
1854,show me movies rated pg,O O O O B_mpaa_rating
1855,bring up all pg movies,O O O B_mpaa_rating O
1856,find me pg movies,O O B_mpaa_rating O
1857,find movies rated pg,O O O B_mpaa_rating
1858,find movies that are pg,O O O O B_mpaa_rating
1859,i need movies with a pg rating,O O O O O B_mpaa_rating O
1860,i want to search for pg rated movies,O O O O O B_mpaa_rating O O
1861,list movies rated pg,O O O B_mpaa_rating
1862,movies with pg rating,O O B_mpaa_rating O
1863,movies with pg rating,O O B_mpaa_rating O
1864,pg movies,B_mpaa_rating O
1865,show me pg rated movies,O O B_mpaa_rating O O
1866,show me the movies rating pg,O O O O O B_mpaa_rating
1867,find movies with pg ratings only,O O O B_mpaa_rating O O
1868,i want a list of pg rated movies,O O O O O B_mpaa_rating O O
1869,i want to see movies that are rated pg,O O O O O O O O B_mpaa_rating
1870,only show movies rated pg,O O O O B_mpaa_rating
1871,please find pg rated movies,O O B_mpaa_rating O O
1872,search for movies with a pg rating,O O O O O B_mpaa_rating O
1873,search for movies with a pg rating,O O O O O B_mpaa_rating O
1874,show me all pg movies,O O O B_mpaa_rating O
1875,show me movies with pg rating,O O O O B_mpaa_rating O
1876,show me movies with pg ratings,O O O O B_mpaa_rating O
1877,show me pg movies,O O B_mpaa_rating O
1878,get hungarian films,O B_country O
1879,i want to watch a comedy made in hungary,O O O O O B_genre O O B_country
1880,show me hungarian comedies,O O B_country B_genre
1881,what's the latest on brad pitt,O O O O B_person I_person
1882,i'm looking for a jason cortlund movie,O O O O B_director I_director O
1883,show me the movie now forager,O O O O B_movie I_movie
1884,what old movies are made by warner brothers,O O O O O O B_producer I_producer
1885,i want to look up alfred hitchcock movies,O O O O O B_director I_director O
1886,find me movies made by alfred hitchcock,O O O O O B_director I_director
1887,i want to search for alfred hitchcock movies,O O O O O B_director I_director O
1888,i would like to watch an alfred hitchcock movie,O O O O O O B_director I_director O
1889,show me some alfred hitchcock movies,O O O B_director I_director O
1890,look up alfred hitchcock movies,O O B_director I_director O
1891,movies alfred hitchcock,O B_director I_director
1892,movies by alfred hitchcock,O O B_director I_director
1893,movies by alfred hitchcock,O O B_director I_director
1894,what movies has alfred hitchcock directed,O O O B_director I_director O
1895,hitchcock movie list,B_director O O
1896,list hitchcock movies,O B_director O
1897,movie list hitchcock,O O B_director
1898,show me hitchcock movies,O O B_director O
1899,hitchcock movie info,B_director O O
1900,hitchcock movies,B_director O
1901,what movies did hitchcock direct,O O O B_director O
1902,show me the last five films for lionsgate,O O O O O O O B_producer
1903,show me recent movies from lionsgate,O O O O O B_producer
1904,what new movies does lionsgate have out,O O O O B_producer O O
1905,show me the movie vulgaria,O O O O B_movie
1906,what recently released movies are rated r,O O O O O O B_mpaa_rating
1907,get me a list of current r-rated movies,O O O O O O B_mpaa_rating O
1908,show a list of recent releases that are rated pg,O O O O O O O O O B_mpaa_rating
1909,what are some recent released pg movies,O O O O O B_mpaa_rating O
1910,show recent movies rated pg,O O O O B_mpaa_rating
1911,will you show me a list of recent movies rated pg,O O O O O O O O O O B_mpaa_rating
1912,which current movies are rated pg,O O O O O B_mpaa_rating
1913,do you have anything by george cukor,O O O O O B_director I_director
1914,what was the first movie steven spielberg directed,O O O O O B_director I_director O
1915,did rob reiner direct any movies,O B_director I_director O O O
1916,what was the highest making movie,O O O O O O
1917,show me high grossing movies,O O O O O
1918,what movies made the most money,O O O O O O
1919,what are the top grossing movies,O O O O O O
1920,find the new will ferrell movie,O O O B_person I_person O
1921,what are the three latest films with will ferrell,O O O O O O O B_cast I_cast
1922,what are recent films by will ferrell,O O O O O B_cast I_cast
1923,any new movies with eddie murphy,O O O O B_cast I_cast
1924,i would like to look for movies about god,O O O O O O O O B_subject
1925,look up movies about god,O O O O B_subject
1926,i want to look for movies about god,O O O O O O O B_subject
1927,please search for movies about god,O O O O O B_subject
1928,watch ron howard's latest movie,O B_director I_director O O O
1929,find ron howard new movie,O B_director I_director O O
1930,i need a list of movies produced by ray stark,O O O O O O O O B_producer I_producer
1931,show me all movies produced by ray stark,O O O O O O B_producer I_producer
1932,what movies has ray stark produced,O O O B_producer I_producer O
1933,what movie has albert brooks done lately,O O O B_person I_person O O
1934,recent movies by steven spielberg,O O O B_director I_director
1935,find sandra bullock's latest movie,O B_person I_person O O O
1936,i am looking for movies directed by tom hanks,O O O O O O O B_director I_director
1937,find movies directed by tom hanks,O O O O B_director I_director
1938,show me movies that tom hanks directed,O O O O B_director I_director O
1939,movies by tom hanks,O O B_director I_director
1940,show me a list of all movies that were directed by tom hanks,O O O O O O O O O O O B_director I_director
1941,what movie made the least money,O O O O O O
1942,what has tom cruise acted in lately,O O B_person I_person O O O
1943,what new movies are playing with rating of pg thirteen,O O O O O O O O B_mpaa_rating I_mpaa_rating
1944,show me a list of movies that are new and rated pg-13,O O O O O O O O O O O B_mpaa_rating
1945,what pg-13 movies are currently showing,O B_mpaa_rating O O O O
1946,what other movies has will smith directed,O O O O B_director I_director O
1947,show me the latest movies in kannada,O O O O O O B_language
1948,have any new movies by twentieth century fox,O O O O O B_producer I_producer I_producer
1949,current movie suggestions,O O O
1950,show me new releases,O O O O
1951,see ed harris last movie,O B_person I_person O O
1952,give me a list of recent horror films,O O O O O B_release_year B_genre O
1953,show me movies in swedish,O O O O B_language
1954,what was woody allen's last movie,O O B_director I_director O O O
1955,about in july,O B_movie I_movie
1956,i want to go to the homepage for in july,O O O O O O O O B_movie I_movie
1957,i want to view the page on in july,O O O O O O O B_movie I_movie
1958,i would like to see the main page of in july,O O O O O O O O O B_movie I_movie
1959,in july information,B_movie I_movie O
1960,summary of in july,O O B_movie I_movie
1961,synopsis for in july,O O B_movie I_movie
1962,was life is beautiful made in italy,O B_movie I_movie I_movie O O B_country
1963,current movies rated g,O O O B_mpaa_rating
1964,find all new releases that are rated g,O O O O O O O B_mpaa_rating
1965,can i have a list of movie production companies,O O O O O O O O O
1966,who is bruce willis,O O B_person I_person
1967,producer,O
1968,i need a movie producer list,O O O O O O
1969,can i have a list of producers,O O O O O O O
1970,find me info on emma watson,O O O O B_person I_person
1971,show me more information about will smith,O O O O O B_person I_person
1972,will smith bio,B_person I_person O
1973,i need a list of actors,O O O O O O
1974,search for actors,O O O
1975,find actors,O O
1976,search movie actors,O O O
1977,movie actors,O O
1978,display actors in movies,O O O O
1979,show actors in movies,O O O O
1980,display biography of actor will ferrell,O O O O B_person I_person
1981,who is the actor will ferrell,O O O O B_person I_person
1982,director,O
1983,find a director,O O O
1984,find directors,O O
1985,search directors,O O
1986,search directors,O O
1987,movie directors,O O
1988,give me a list of directors,O O O O O O
1989,where can i find a director,O O O O O O
1990,see bill paxton,O B_person I_person
1991,give me information about elizabeth mcgovern,O O O O B_person I_person
1992,show me information on darla anderson,O O O O B_person I_person
1993,can you give me more information about charles,O O O O O O O B_person
1994,can you tell me more about the producer ray stark,O O O O O O O O B_person I_person
1995,give me more details about the producer ray stark,O O O O O O O B_person I_person
1996,i need to know more about the producer ray stark,O O O O O O O O B_person I_person
1997,show me more information about the producer ray stark,O O O O O O O B_person I_person
1998,show me information on shelly long,O O O O B_person I_person
1999,i want to know about clint eastwood,O O O O O B_person I_person
2000,look for information about charles vidor,O O O O B_person I_person
2001,search for information about charles vidor,O O O O B_person I_person
2002,want to see charles vidor,O O O B_person I_person
2003,who is childs vidor,O O B_person I_person
2004,find me more information on scorscese,O O O O O B_person
2005,find the director andrew stanton,O O O B_person I_person
2006,who is andrew stanton,O O B_person I_person
2007,see the olsen twins,O O B_person I_person
2008,can you find more information on albert ruddy,O O O O O O B_person I_person
2009,search for information about tom cruise,O O O O B_person I_person
2010,find information about tom cruise,O O O B_person I_person
2011,look for information about tom cruise,O O O O B_person I_person
2012,look up information about tom cruise,O O O O B_person I_person
2013,all about will farrell please,O O B_person I_person O
2014,bio on will ferrell,O O B_person I_person
2015,biography for will ferrell,O O B_person I_person
2016,bring me to will ferrell informaion,O O O B_person I_person O
2017,bring up a bio on will ferrell,O O O O O B_person I_person
2018,can you show me information on will ferrell please,O O O O O O B_person I_person O
2019,display all information on will ferrell,O O O O B_person I_person
2020,get me bio info for will ferrell,O O O O O B_person I_person
2021,goto will ferrell biography,O B_person I_person O
2022,i want information about will ferrell,O O O O B_person I_person
2023,i want to see will ferrell details,O O O O B_person I_person O
2024,information about will ferrell,O O B_person I_person
2025,look for will ferrell,O O B_person I_person
2026,open a page about will ferrell,O O O O B_person I_person
2027,please show me information on will ferrell,O O O O O B_person I_person
2028,search for will ferrell,O O B_person I_person
2029,show me a bio of will ferrell,O O O O O B_person I_person
2030,show me will ferrell information,O O B_person I_person O
2031,show will ferrell information,O B_person I_person O
2032,who is will ferrell,O O B_person I_person
2033,who is will ferrell,O O B_person I_person
2034,who is will ferrell,O O B_person I_person
2035,will ferrell,B_person I_person
2036,will ferrell history,B_person I_person O
2037,will ferrell tidbits,B_person I_person O
2038,will ferrell's biography,B_person I_person O O
2039,please run a search on will ferrell and display all info returned,O O O O O B_person I_person O O O O O
2040,what is terry georges background,O O B_person I_person O
2041,exhibit all relevant information about the director steven spielberg,O O O O O O O B_person I_person
2042,show me the bio for the director steven spielberg,O O O O O O O B_person I_person
2043,who is director steven spielberg,O O O B_person I_person
2044,show all relevant information about the director steven spielberg,O O O O O O O B_person I_person
2045,show biography for director steven spielberg,O O O O B_person I_person
2046,find information about kristen stewart,O O O B_person I_person
2047,how do i find out information about kristen stewart,O O O O O O O B_person I_person
2048,learn more about kristen stewart,O O O B_person I_person
2049,who is kristen stewart,O O B_person I_person
2050,information on julia roberts,O O B_person I_person
2051,get me information about spielberg,O O O O B_person
2052,i want to know about spielberg,O O O O O B_person
2053,i want to see spielberg's page,O O O O B_person O O
2054,pull up spielberg,O O B_person
2055,show me spielberg's info,O O B_person O O
2056,show me spielberg's main page,O O B_person O O O
2057,show me the profile of spielberg,O O O O O B_person
2058,show my spielberg info,O O B_person O
2059,find me stats about steven spielberg,O O O O B_person I_person
2060,i need details steven spielberg now,O O O B_person I_person O
2061,search for steven spielberg,O O B_person I_person
2062,show me the information for steven spielberg,O O O O O B_person I_person
2063,stephen spielberg biography,B_person I_person O
2064,steven spielberg,B_person I_person
2065,steven spielberg bio,B_person I_person O
2066,steven spielberg profile page,B_person I_person O O
2067,what about steven spielberg,O O B_person I_person
2068,who is steven spielberg,O O B_person I_person
2069,find info on tom hanks,O O O B_person I_person
2070,show me information on tom hanks,O O O O B_person I_person
2071,show tom hanks,O B_person I_person
2072,information for sally field,O O B_person I_person
2073,sergio leone,B_person I_person
2074,i need information on sean connery,O O O O B_person I_person
2075,tell me about michelle pfiefer,O O O B_person I_person
2076,i want to learn about charlie sheen,O O O O O B_person I_person
2077,find information about robert wise,O O O B_person I_person
2078,robert wise life,B_person I_person O
2079,search for information about robert wise,O O O O B_person I_person
2080,director's profiles: hitchcock,O O O B_person
2081,warner brothers bio,O O O
2082,alfred hitchcock,B_person I_person
2083,who is hitchcock,O O B_person
2084,information for clark gable,O O B_person I_person
2085,i want information about angelina jolie,O O O O B_person I_person
2086,i want more information on richard lester,O O O O O B_person I_person
2087,information for vivian lee,O O B_person I_person
2088,name the producer of the godfather,O O O O B_movie I_movie
2089,what is the name of the company that produced sparkle,O O O O O O O O O B_movie
2090,what is the name of the company that produced the movie ants,O O O O O O O O O O O B_movie
2091,show me the name of the producer of the movie avatar,O O O O O O O O O O B_movie
2092,can you show me the name of the producer for cabin in the woods,O O O O O O O O O O I_movie I_movie I_movie I_movie
2093,what is the name of the company that produced the movie avatar,O O O O O O O O O O O B_movie
2094,please provide the name of the company that produced sparkle,O O O O O O O O O B_movie
2095,what is the name of the company that produced the movie inception,O O O O O O O O O O O B_movie
2096,hitch list producer,B_movie O O
2097,i want info on how produced hitch,O O O O O O B_movie
2098,who are the producers for the movie hitch,O O O O O O O B_movie
2099,who is the producer for hitch,O O O O O B_movie
2100,who produced hitch,O O B_movie
2101,who produced hitch,O O B_movie
2102,who produced hitch,O O B_movie
2103,who was the producer for the movie hitch,O O O O O O O B_movie
2104,info hitch producer,O B_movie O
2105,what production company was responsible for the film the devil wears prada,O O O O O O O O B_movie I_movie I_movie I_movie
2106,what company produced secretariat,O O O B_movie
2107,what company produced the movie field of dreams,O O O O O B_movie I_movie I_movie
2108,what company produced jurassic park,O O O B_movie I_movie
2109,company that produced iron man,O O O B_movie I_movie
2110,what company produced cabin in the woods,O O O B_movie I_movie I_movie I_movie
2111,production company for spiderman,O O O B_movie
2112,who produced cabin in the woods,O O B_movie I_movie I_movie I_movie
2113,what was the production company for black swan,O O O O O O B_movie I_movie
2114,get me the think like a man movie producer,O O O B_movie I_movie I_movie I_movie O O
2115,who produced cars,O O B_movie
2116,who produced cars,O O B_movie
2117,who produced the movie cars,O O O O B_movie
2118,who produced steel magnolias,O O B_movie I_movie
2119,who produces steel magnolias,O O B_movie I_movie
2120,name of producer for ghost busters,O O O O B_movie I_movie
2121,who produced et,O O B_movie
2122,who was the producer for elizabeth,O O O O O B_movie
2123,please show me who produces madagascar,O O O O O B_movie
2124,look for the producer of heroine,O O O O O B_movie
2125,producer of heroine,O O B_movie
2126,can you find the producer of heroine,O O O O O O B_movie
2127,can you tell me who produced the movie avatar,O O O O O O O O B_movie
2128,i need to know the movie avatar's producer name,O O O O O O B_movie O O O
2129,i need to know who produced the movie avatar,O O O O O O O O B_movie
2130,please tell me who produce the avatar,O O O O O O B_movie
2131,producer of avatar,O O B_movie
2132,who is the producer of avatar,O O O O O B_movie
2133,who produce the avatar,O O O B_movie
2134,who produced avatar,O O B_movie
2135,who produced avatar,O O B_movie
2136,who produced avatar,O O B_movie
2137,who produced avatar,O O B_movie
2138,who produced avatar with james cameron,O O B_movie O B_person I_person
2139,who is listed as producer of grease,O O O O O O B_movie
2140,who is the producer of grease,O O O O O B_movie
2141,browse lionsgate information,O B_producer O
2142,display production company lionsgate,O O O B_producer
2143,get info on lionsgate,O O O B_producer
2144,goto lionsgate,O B_producer
2145,i would like more information about lionsgate,O O O O O O B_producer
2146,look for information about lionsgate,O O O O B_producer
2147,see lionsgate info,O B_producer O
2148,show lionsgate,O B_producer
2149,company that produced the avengers,O O O B_movie I_movie
2150,show who produced black swan,O O O B_movie I_movie
2151,who produced black swan,O O B_movie I_movie
2152,who produced spaceballs,O O B_movie
2153,find the producer of the godfather,O O O O B_movie I_movie
2154,show me the producer of the godfather,O O O O O B_movie I_movie
2155,who is the producer of the godfather,O O O O O B_movie I_movie
2156,who produced the godfather,O O B_movie I_movie
2157,who produced the godfather,O O B_movie I_movie
2158,who produced the godfather,O O B_movie I_movie
2159,who produced the godfather movies,O O B_movie I_movie O
2160,producer for slumdog millionaire,O O B_movie I_movie
2161,company that produced thor,O O O B_movie
2162,what company produced days of thunder,O O O B_movie I_movie I_movie
2163,i want to look for information about paramount studios,O O O O O O O B_producer O
2164,look for information about paramount studios,O O O O B_producer O
2165,what is the history behind paramount,O O O O O B_producer
2166,look at paramount,O O B_producer
2167,who produced hotel rwanda,O O B_movie I_movie
2168,who produced the movie hotel rwanda,O O O O B_movie I_movie
2169,who produced titanic,O O B_movie
2170,company that produced twilight,O O O B_movie
2171,producer for ms. congeniality,O O B_movie I_movie
2172,who produced top gun,O O B_movie I_movie
2173,what production company produced the movie avatar,O O O O O O B_movie
2174,what studio made the dark knight,O O O B_movie I_movie I_movie
2175,what company produced the hangover,O O O B_movie I_movie
2176,who produced the devil wears prada,O O B_movie I_movie I_movie I_movie
2177,i d like to know who the producer of the terminator is,O O O O O O O O O B_movie I_movie O
2178,i wonder who produced the terminator,O O O O B_movie I_movie
2179,who is the producer of the terminator,O O O O O B_movie I_movie
2180,find producer of the great debaters,O O O B_movie I_movie I_movie
2181,who produced the great debaters,O O B_movie I_movie I_movie
2182,who produced the movie twilight,O O O O B_movie
2183,production company for the hulk,O O O O B_movie
2184,can i see who produced possesion,O O O O O B_movie
2185,who produced possesion,O O B_movie
